"fr","apprendre","fr","apprenons","fr","apprend"
"fr","apprise","fr","appris"
"fr","apprivoisement","fr","apprivoiser"
"fr","approfondir","fr","approfondi"
"fr","approvisionnement","fr","approvisionner"
"fr","appui","fr","appuiement","fr","appuyer","fr","appuyons"
"fr","âpre","fr","âpreté"
"fr","ara","fr","aras"
"fr","araser","fr","arase"
"fr","arbitre","fr","arbitrer"
"fr","arbuste","fr","arbustier"
"fr","argent","fr","argenté","fr","argenter"
"fr","arnaque","fr","arnaquer"
"fr","aromatise","fr","aromatiser"
"fr","arpente","fr","arpenter"
"fr","arracher","fr","arraché"
"fr","arrêt","fr","arrête","fr","arrêtons"
"fr","arrière","fr","arriérer","fr","arriéré"
"fr","arrimage","fr","arrime","fr","arrimer"
"fr","arrise","fr","arriser"
"fr","arrondi","fr","arrondir","fr","arrondisse"
"fr","arroser","fr","arrose"
"fr","artisanal","fr","artisanaux"
"fr","assagir","fr","assagi"
"fr","assainir","fr","assainissement"
"fr","assassinat","fr","assassiner"
"fr","assèche","fr","assécher"
"fr","asséna","fr","asséna"
"fr","assermentation","fr","assermenter"
"fr","asservi","fr","asservir"
"fr","asseye","fr","asseoir"
"fr","assiette","fr","assiettée"
"fr","assir","fr","assis","fr","assise"
"fr","assombrir","fr","assombri"
"fr","assommer","fr","assomme"
"fr","assortir","fr","assorti"
"fr","assoupi","fr","assoupir","fr","assoupissement"
"fr","assouplissant","fr","assouplissement"
"fr","assourdi","fr","assourdir","fr","assourdissement"
"fr","assujetti","fr","assujettir","fr","assujettissement"
"fr","astiquer","fr","astique"
"fr","astreint","fr","astreindre"
"fr","ataca","fr","atoca","fr","atocas"
"fr","atermoyer","fr","atermoiement"
"fr","attabler","fr","attable"
"fr","attache","fr","attachons"
"fr","attend","fr","attendant","fr","attendez","fr","attendre","fr","attente"
"fr","attendri","fr","attendrir","fr","attendrissement"
"fr","attentif","fr","attentive"
"fr","atterrir","fr","atterri","fr","atterrissage"
"fr","attise","fr","attiser","fr","attiser"
"fr","attouchement","fr","attoucher"
"fr","attrape","fr","attrape","fr","attraper"
"fr","attriste","fr","attrister"
"fr","aucun","fr","aucune"
"fr","audace","fr","audacieuse","fr","audacieux"
"fr","augmentation","fr","augmenter","fr","augmente"
"fr","auparavant","fr","avant"
"fr","aurons","fr","auront"
"fr","auto-stoppeur","fr","auto-stoppeuse"
"fr","autofinancement","fr","autofinancer"
"fr","autre","fr","autrui"
"fr","avait","fr","avez","fr","aviez","fr","avoir","fr","avons","fr","aurait","fr","aura","fr","ait"
"fr","avale","fr","avalons"
"fr","avalisant","fr","avaliser"
"fr","avertir","fr","averti","fr","avertissement"
"fr","aveugle","fr","aveugler","fr","aveuglement"
"fr","aviculteur","fr","aviculture"
"fr","avidement","fr","avide"
"fr","avili","fr","avilir","fr","avilissant"
"fr","aviron","fr","avironner"
"fr","avis","fr","aviser"
"fr","avive","fr","aviver"
"fr","avoisinant","fr","avoisinante"
"fr","avoue","fr","avouer","fr","aveux"
"fr","ayant","fr","ayez","fr","ayons"
"en","a","en","an"
"en","a cappella"
"en","a jour"
"en","a la carte"
"en","à la carte"
"en","a la mode"
